condition_index,dataset_index,lineage_count,log_volume,replica,sampling_protocol,target_function_mass,target_name,threshold,train_hard_exact_mass,unseen_agreement,unseen_target_accuracy
20,2,1,-446.645206106664,2,cell_balanced,0.42041015625,parity2,0.1,1.0,0.9843383337549724,0.990142822265625
20,2,4,-456.86764819659413,3,cell_balanced,0.0,parity2,0.1,1.0,0.9531222909233461,0.881622314453125
21,2,2,-370.1489881106398,0,cell_balanced,0.11328125,mux3,0.1,1.0,0.973499433070336,0.9780142647879464
21,2,5,-368.3367105494543,1,cell_balanced,0.1533203125,mux3,0.1,1.0,0.9745077036939402,0.9780665806361607
21,2,4,-367.6216217286696,2,cell_balanced,0.13671875,mux3,0.1,1.0,0.9749926603616628,0.9796033586774554
21,2,3,-369.464430149022,3,cell_balanced,0.09814453125,mux3,0.1,1.0,0.9759467451926327,0.9775979178292411
22,3,1,-417.33687566260994,0,cell_balanced,0.0,parity2,0.1,1.0,0.905625883687174,0.8670763288225446
22,3,2,-418.7558999161069,1,cell_balanced,0.0,parity2,0.1,1.0,0.9064532489019209,0.8724321637834821
22,3,3,-417.6716685047039,2,cell_balanced,0.00048828125,parity2,0.1,1.0,0.9061570905975208,0.8632899693080357
22,3,1,-414.2160463455179,3,cell_balanced,0.00048828125,parity2,0.1,1.0,0.904701381462119,0.8607984270368304
23,3,5,-318.60590427291146,0,cell_balanced,0.0,mux3,0.1,1.0,0.9467782659435464,0.7510572160993304
23,3,3,-318.7414598771272,1,cell_balanced,0.0,mux3,0.1,1.0,0.9436301612680958,0.7449885777064732
23,3,7,-318.92736388675803,2,cell_balanced,0.0,mux3,0.1,1.0,0.9439795959502474,0.7416512625558036
23,3,5,-320.08245922247056,3,cell_balanced,0.0,mux3,0.1,1.0,0.9434278622468257,0.7422637939453125
24,4,1,-408.5685702879949,0,cell_balanced,0.0,parity2,0.1,1.0,0.894864828490572,0.8661717006138393
24,4,1,-406.6100860901317,1,cell_balanced,0.0,parity2,0.1,1.0,0.9059097233599965,0.8779144287109375
24,4,2,-406.0862434578663,2,cell_balanced,0.0,parity2,0.1,1.0,0.8928159849119083,0.8546469552176339
24,4,1,-406.05792048113454,3,cell_balanced,0.0,parity2,0.1,1.0,0.8967177304330379,0.8622872488839286
25,4,5,-349.2145154389024,0,cell_balanced,0.0,mux3,0.1,1.0,0.9388972552691711,0.9015829903738839
25,4,2,-350.29763740810483,1,cell_balanced,0.0,mux3,0.1,1.0,0.9415391033746848,0.8995470319475446
25,4,3,-349.53382539613204,2,cell_balanced,0.0,mux3,0.1,1.0,0.9432001464639291,0.9003622872488839
25,4,4,-348.97835285109176,3,cell_balanced,0.0,mux3,0.1,1.0,0.9399321161616631,0.9015590122767857
