cohort_copy_x1_full_agreement_mean,cohort_copy_x2_full_agreement_mean,conflict_fraction_mean,copy_x1_accuracy_mean,copy_x2_accuracy_mean,dataset_count,maximum_cell_count_mean,minimum_cell_count_mean,modal_copy_x1_full_agreement_mean,modal_copy_x2_full_agreement_mean,n,optimizer_name,recovery_rate,sampling_protocol,semantic_repetitions,target_mass_mean,target_name,unseen_agreement_mean,unseen_target_accuracy_mean
0.5,0.5,0.4997907366071429,0.49567522321428575,0.5011858258928572,128,32.2578125,23.734375,0.5,0.5,112,adamw,1.0,uniform_random,28.0,1.0,parity2,1.0,1.0
0.7377843856811523,0.7286214828491211,0.49951171875,0.7568359375,0.74365234375,128,6.9921875,1.4765625,0.74346923828125,0.718505859375,32,adamw,0.0,uniform_random,4.0,0.00048828125,mux3,0.946105464812248,0.817793709891183
0.7471466064453125,0.7352409362792969,0.4970703125,0.7572265625,0.7457031249999999,128,8.2109375,2.1875,0.754486083984375,0.727020263671875,40,adamw,0.0,uniform_random,5.0,0.013427734375,mux3,0.9549586798555108,0.8676916051793981
0.7526750564575195,0.7403268814086914,0.50048828125,0.7548828125,0.74462890625,128,9.390625,2.9609375,0.754974365234375,0.737945556640625,48,adamw,0.0078125,uniform_random,6.0,0.055419921875,mux3,0.9659307967344526,0.9143430269681491
0.7536745071411133,0.7432966232299805,0.5013950892857143,0.7554408482142857,0.7431640625,128,10.53125,3.8046875,0.757080078125,0.740966796875,56,adamw,0.0625,uniform_random,7.0,0.201904296875,mux3,0.9759862493699598,0.947430419921875
0.7539196014404297,0.744842529296875,0.500244140625,0.7568359375,0.742919921875,128,11.765625,4.5234375,0.754241943359375,0.744110107421875,64,adamw,0.1796875,uniform_random,8.0,0.357421875,mux3,0.9825787287886425,0.9683787027994791
0.7531824111938477,0.7464838027954102,0.5017361111111112,0.7550998263888888,0.7431640625,128,12.8984375,5.3359375,0.752838134765625,0.747100830078125,72,adamw,0.375,uniform_random,9.0,0.56982421875,mux3,0.9904169668489218,0.9815156356148098
0.7523412704467773,0.747380256652832,0.50107421875,0.7546875,0.74423828125,128,13.9375,6.2109375,0.751739501953125,0.747772216796875,80,adamw,0.578125,uniform_random,10.0,0.744384765625,mux3,0.9952593940444007,0.9908710826526989
0.7508659362792969,0.7488498687744141,0.5023082386363638,0.7515092329545454,0.746182528409091,128,14.9453125,7.140625,0.750732421875,0.748779296875,88,adamw,0.765625,uniform_random,11.0,0.854248046875,mux3,0.9974196473574308,0.9946579706101191
0.7506694793701172,0.7492828369140625,0.5008951822916666,0.7521158854166667,0.7469889322916667,128,16.1484375,8.09375,0.7506103515625,0.7493896484375,96,adamw,0.8828125,uniform_random,12.0,0.950927734375,mux3,0.9991963048135081,0.9984039306640624
0.7507247924804688,0.7492084503173828,0.5013521634615383,0.7516526442307692,0.7469951923076923,128,17.2421875,9.0078125,0.7506103515625,0.7493896484375,104,adamw,0.96875,uniform_random,13.0,0.977294921875,mux3,0.9996045667975382,0.9986572265625
0.7501354217529297,0.7498645782470703,0.4997907366071429,0.7528599330357143,0.7473493303571428,128,18.1875,9.9609375,0.7501220703125,0.7498779296875,112,adamw,0.9921875,uniform_random,14.0,0.9912109375,mux3,0.9999398398997537,0.9997592502170138
0.49832725524902344,0.5008316040039062,0.5,0.5,0.5,128,8.0,8.0,0.4971923828125,0.505615234375,32,adamw,0.0,cell_balanced,8.0,0.016845703125,parity2,0.9285323323192685,0.847259521484375
0.5019159317016602,0.500096321105957,0.5,0.5,0.5,128,10.0,10.0,0.5013427734375,0.50177001953125,40,adamw,0.015625,cell_balanced,10.0,0.145751953125,parity2,0.9562181042086693,0.9361312301070601
0.5009145736694336,0.5003252029418945,0.5,0.5,0.5,128,12.0,12.0,0.499908447265625,0.500457763671875,48,adamw,0.15625,cell_balanced,12.0,0.481689453125,parity2,0.9834542475622287,0.9816014216496395
